ID,Label,Text
W0,0,i didnt feel humiliated
W1,0,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
W2,0,im grabbing a minute to post i feel greedy wrong
W3,1,i am ever feeling nostalgic about the fireplace i will know that it is still on the property
W4,0,i am feeling grouchy
W5,0,ive been feeling a little burdened lately wasnt sure why that was
W6,0,i feel as confused about life as a teenager or as jaded as a year old man
W7,1,i have been with petronas for years i feel that petronas has performed well and made a huge profit
W8,1,i feel romantic too
W9,0,i feel like i have to make the suffering i m seeing mean something
WW,1,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter
W13,1,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious
W15,0,i didnt really feel that embarrassed
W16,0,i feel pretty pathetic most of the time
W17,0,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties
W18,0,i now feel compromised and skeptical of the value of every unit of work i put in
W19,0,i feel irritated and rejected without anyone doing anything or saying anything
W20,0,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for
W21,1,i have the feeling she was amused and delighted
W22,1,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me
W23,0,i already feel like i fucked up though because i dont usually eat at all in the morning
W25,0,i feel so inhibited in someone elses kitchen like im painting on someone elses picture
W26,0,i become overwhelmed and feel defeated
W27,0,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp
W28,1,i feel more superior dead chicken or grieving child
W29,1,i get giddy over feeling elegant in a perfectly fitted pencil skirt
W30,0,i remember feeling acutely distressed for a few days
W31,0,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day
W32,1,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently
W34,1,i have been feeling the need to be creative
W35,1,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them
W36,0,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed
W37,1,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words
W38,1,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired
W39,1,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book
W40,1,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect
W41,1,i feel very strongly passionate about when some jerk off decides to poke and make fun of us
W42,0,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way
W44,1,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special
W45,1,i can t let go of that sad feeling that i want to be accepted here in this first home of mine
W46,1,on a boat trip to denmark
W47,0,i stopped feeling cold and began feeling hot
W48,1,i need to feel the dough to make sure its just perfect
W49,0,i found myself feeling a little discouraged that morning
W50,0,i feel selfish and spoiled
W51,0,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended
W52,1,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u
W54,0,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave
W55,1,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off
W56,1,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal
W57,1,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff
W58,1,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level
W59,0,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants
W60,0,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations
W62,0,i know the pain parents feel when an enraged child becomes violent
W63,0,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming
W64,1,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith
W65,1,i was feeling brave when i bought it and clearly when i was doing my makeup
W66,0,i am feeling miserable but c i am also the proudest mum on earth
W67,0,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic
W68,1,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals
W69,0,i can feel my ovaries aching talking to me as i like to put it
W70,0,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff
W72,1,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs
W73,1,i think feelings are one of nay the most important things we have
W74,1,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman
W75,0,i feel angered and firey
W76,0,i feel like a miserable piece of garbage
W77,0,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything
W78,0,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner
W79,0,i remember feeling so hellip furious with the shooter
W80,1,i feel very happy and excited since i learned so many things
W82,1,i only have a couple of things left to make and at the start of december i am done and feeling smug
W83,1,i think about how u could make me feel and realize that everything will be ok
W84,0,i feel so worthless during those times i was struggling finding work
W85,0,i will be able to lay on my bed in the dark and not feel terrified at least for a while
W86,1,i was ready to meet mom in the airport and feel her ever supportive arms around me
W87,0,im feeling bitter today my mood has been strange the entire day so i guess its that
W88,0,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours
W89,0,i am letting go of the animosity that is towards anyone that i feel has wronged me
W90,1,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home
W91,0,i feel like throwing away the shitty piece of shit paper
W92,1,im starting to feel wryly amused at the banal comedy of errors my life is turning into
W93,1,i find every body beautiful and only want people to feel vital in their bodies
W94,0,i hear are owners who feel victimized by their associations the associations attorneys or the property manager
W95,0,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country
W96,1,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months
W100,0,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness
W101,1,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me
W102,1,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger
W103,1,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street
W104,1,finding out that i am not ill not seriously
W105,0,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling
W106,1,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face
W107,1,i am feeling all useful
W108,1,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain
W109,0,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair
W110,0,im not feeling homesick yet so im feeling alright about this
W111,1,i dance i should feel pretty
W112,1,i workout every morning before and feel fabulous for it
W113,0,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain
W114,1,i was feeling fabulous until friday morning when i started to get these awful cramps at work
W115,1,i feel honoured to have been able to call them friends to share their brotherhood
W116,0,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town
W117,0,i had stated to her the reason i feel so fearful is because i feel unsafe
W118,0,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch
W119,0,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet
W120,1,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved
W121,1,i feel they are pretty safe on my blog img src http s
W122,1,i feel pretty eager to get it done as i have a fun plan for quilting it
W123,1,i am feeling horny so i ask her that lets go home
W124,0,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love
W125,1,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful
W126,1,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day
W127,1,i was still feeling strong
W128,1,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him
