Text,Actual Label,Predicted TF-IDF,Predicted VADER,Predicted BERT
know luh feeling damn awkward,0,0,0,0
wonder mind reader draw blank get around stupid people stupid people leave room feel like somebody smart walked,1,0,0,0
wanted create feeling longing sadness,1,1,0,0
wrong feel aggravated,0,0,0,0
would truly express utter gratitude thankfulness feel sincere gesture grateful,1,1,1,1
feel like kierkegaard hated lonely philosopher,0,0,0,0
feel triumphant ive found,1,1,1,1
feel radiant grounded presence truth beauty goodness,1,1,1,1
feel eager,1,1,1,1
always feel rushed way visit comment,0,0,1,0
supposed go strong feel inhibited,0,1,1,0
feel like greedy easily pound overweight american,0,0,1,0
feel desire learn explore truth say spirituality lead useful source,1,1,1,1
feeling bad coherent deal teenager week,0,0,0,0
feel strong enough let negative thought feeling effect,1,1,1,0
cant feel loving back,1,1,0,0
thinking certain person sleep end strange dream wake dream feel shaken stunned,0,0,1,0
kept laptop close searching job could build career looking important christmas recipe make year feel little special,1,1,1,1
im thankful parent understanding make feel le wimpy,0,1,1,1
feel sort treachery towards beloved go fuck someone,1,1,0,0
im feeling agitated usual evening mood becoming norm,0,0,0,0
feeling generous saturday morning told go ahead plan stand made enough money id take theater see movie,1,1,1,1
im feeling romantic lately decided go nail design,1,1,1,1
feel lajoie would definitely one hall famers casual baseball fan would say hell,1,1,1,1
done hope inspiring time looking solace people rather god proof maybe something good feel horrible,0,1,1,1
hate feeling needy need approval need money need direction need physical mental strength even need particular someone need knowing lack need,0,0,0,0
feeling spiteful,0,0,0,0
feel like punished something even,0,0,0,0
developed commercial property skill knowledge significantly feel lot confident work,1,1,1,1
feeling like valued part family great friendly rapport three u,1,1,1,1
wasnt feeling hot prior vineman little racin lot self talk im better spot mentally physically,1,1,1,1
tend stop breathing feeling stressed,0,0,0,0
manage two short run walk today im back feeling shy awful,0,0,0,0
feel anger love failure totally dont get mothering friend grief loss captivity wonder awe ignored,0,0,0,0
didnt think angry im typing away feeling word evaporate cyberspace pissed happening,0,0,0,0
might tackle memoir feel need live longer qualify anything useful say,1,1,1,0
feel like innocent victim feel win,1,1,1,0
feel thankful ive experienced company embarked,1,1,1,1
feel divine strong,1,1,1,1
feel like useful engine mother watched thomas understand,1,1,1,1
feel embarrassed want others take pity much pride,0,0,0,0
feel something like vain could raise score year,0,0,0,0
remember feeling humiliated people front seat car,0,0,0,0
feel uptight tense,0,0,0,0
go walk mother evening feel frantic anxious energy shes losing daughter doesnt know win back,0,0,0,0
hear soothing low soft voice marvel voice make feel calm strong also,1,1,1,1
get involved tale good versus evil want feel afraid dark certain extent,0,0,0,0
get idea something want write feel passionate sculpt great sentence,1,1,1,1
feel pathetic desolation beyond consolation,0,0,0,0
glimpse clarity take reign feel calm,1,1,1,1
feel like rude,0,0,0,0
still working get past feeling deprived saying food fat sugar filled,0,0,0,0
use regularly relaxing music always feel invigorated afterward,1,1,1,1
feel rebellious particularly like watching romcoms get feeling may pretty good writing,0,1,1,1
id feel better,1,1,1,1
might folk soon im feeling brave,1,1,1,1
grab something hit feel pain damn know risk injury might occur know dangerous,0,0,0,0
dont say anything dont want cause fuss hate people feel sorry,0,0,0,0
wound feeling pleased tightly paced film,1,1,1,1
feel really petty immature dont want cheat greg end breaking fighting stupid little thing,0,0,0,0
feel im unhappy,0,0,0,0
love make feel greedy,0,0,1,1
feel stress relieved time run treadmill swim multi coloured pool every day,1,1,0,1
always feel awkward im alone crowd peer feel need make friend,0,0,1,0
cant help feel somehow punished heather mill divorce settlement good sense hum,0,0,0,0
ill whingeing much ache least feel slightly virtuous,1,1,0,1
feel really rotten remind thankful good day,0,1,1,0
